,Track ID,Name,Artist,Album,Genre,Location,Kind,Size,Total Time
79,370,Some Nights,Christina Grimmie,The  Voice: The Complete Season 6 Collection,Pop,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Christina%20Grimmie/The%20%20Voice_%20The%20Complete%20Season%206%20Collection/09%20Some%20Nights.mp3,MPEG audio file,8496459,209952
80,372,Can't Help Falling In Love,Christina Grimmie,The  Voice: The Complete Season 6 Collection,Pop,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Christina%20Grimmie/The%20%20Voice_%20The%20Complete%20Season%206%20Collection/10%20Can't%20Help%20Falling%20In%20Love.mp3,MPEG audio file,7614642,188016
81,374,Somebody That I Used To Know,Christina Grimmie,The  Voice: The Complete Season 6 Collection,Pop,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Christina%20Grimmie/The%20%20Voice_%20The%20Complete%20Season%206%20Collection/11%20Somebody%20That%20I%20Used%20To%20Know.mp3,MPEG audio file,8061359,199128
82,376,Fictional Love,Christina Grimmie,Unreleased Songs,Pop,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Christina%20Grimmie/Unreleased%20Songs/04%20Fictional%20Love.mp3,MPEG audio file,5575182,228728
83,378,Whispering,Christina Grimmie,The Matchbreaker (Original Motion Picture Soundtrack),Jazz,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Compilations/The%20Matchbreaker%20(Original%20Motion%20Picture%20Soundtrack)/01%20Whispering.m4a,Purchased AAC audio file,7207087,201183
84,380,By My Side,Tony Ferrari,The Matchbreaker (Original Motion Picture Soundtrack),Jazz,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Compilations/The%20Matchbreaker%20(Original%20Motion%20Picture%20Soundtrack)/02%20By%20My%20Side.m4a,Purchased AAC audio file,7397698,209409
85,382,I'm Just Funny That Way,Christina Grimmie,The Matchbreaker (Original Motion Picture Soundtrack),Jazz,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Compilations/The%20Matchbreaker%20(Original%20Motion%20Picture%20Soundtrack)/03%20I'm%20Just%20Funny%20That%20Way.m4a,Purchased AAC audio file,6478383,180278
86,384,Cash Cash Money,Tessa Violet,The Matchbreaker (Original Motion Picture Soundtrack),Jazz,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Compilations/The%20Matchbreaker%20(Original%20Motion%20Picture%20Soundtrack)/04%20Cash%20Cash%20Money.m4a,Purchased AAC audio file,5161955,143525
87,386,My Buddy,Christina Grimmie,The Matchbreaker (Original Motion Picture Soundtrack),Jazz,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Compilations/The%20Matchbreaker%20(Original%20Motion%20Picture%20Soundtrack)/05%20My%20Buddy.m4a,Purchased AAC audio file,7901752,228530
88,388,After You Get What You Want,Christina Grimmie,The Matchbreaker (Original Motion Picture Soundtrack),Jazz,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Compilations/The%20Matchbreaker%20(Original%20Motion%20Picture%20Soundtrack)/06%20After%20You%20Get%20What%20You%20Want.m4a,Purchased AAC audio file,5220243,142350
89,390,Get My Act Together,Tony Ferrari,The Matchbreaker (Original Motion Picture Soundtrack),Jazz,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Compilations/The%20Matchbreaker%20(Original%20Motion%20Picture%20Soundtrack)/07%20Get%20My%20Act%20Together.m4a,Purchased AAC audio file,4603799,118364
90,392,Perfect in Every Way (Score),George Pauley,The Matchbreaker (Original Motion Picture Soundtrack),Jazz,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Compilations/The%20Matchbreaker%20(Original%20Motion%20Picture%20Soundtrack)/08%20Perfect%20in%20Every%20Way%20(Score).m4a,Purchased AAC audio file,4662834,121035
